PV,CA,PV/CA,CA/PV,PV_percent,CA_percent,Diff,Diff_percent
0.620466928,0.473198322,1.311219629,0.762648742,0.567328008,0.432671992,-0.147268606,-0.134656017
0.571885501,0.401706741,1.423639294,0.702425119,0.587397348,0.412602652,-0.17017876,-0.174794696
0.523686117,0.457742698,1.144062198,0.874078352,0.53359562,0.46640438,-0.065943419,-0.06719124
0.55685802,0.458185195,1.215355769,0.822804339,0.548605234,0.451394766,-0.098672825,-0.097210467
0.376765056,0.44965678,0.837894752,1.193467316,0.455899203,0.544100797,0.072891724,0.088201595
0.623380977,0.509609551,1.223252146,0.817492945,0.550208463,0.449791537,-0.113771426,-0.100416926
0.450485469,0.46531586,0.968128335,1.032920909,0.491903052,0.508096948,0.014830391,0.016193895
0.65799129,0.505091813,1.302716205,0.767626898,0.565730246,0.434269754,-0.152899477,-0.131460492
0.564430056,0.523390027,1.078411943,0.927289434,0.518863427,0.481136573,-0.041040029,-0.037726854
0.625287191,0.490163713,1.275670096,0.783901734,0.560568994,0.439431006,-0.135123478,-0.121137988
0.603267676,0.520241502,1.159591601,0.86237258,0.536949486,0.463050514,-0.083026174,-0.073898973
0.577091087,0.447611842,1.2892668,0.775634648,0.563178918,0.436821082,-0.129479245,-0.126357836
0.542331279,0.379346913,1.429644635,0.699474524,0.588417176,0.411582824,-0.162984366,-0.176834352
0.583762574,0.410256024,1.422922614,0.702778908,0.587275304,0.412724696,-0.17350655,-0.174550607
0.587087583,0.480569027,1.221650897,0.818564454,0.549884277,0.450115723,-0.106518556,-0.099768554
0.554656164,0.474764425,1.168276591,0.855961685,0.538804226,0.461195774,-0.079891739,-0.077608453
0.602266401,0.468413655,1.285757566,0.777751597,0.562508284,0.437491716,-0.133852746,-0.125016568
0.565415703,0.525927332,1.075083322,0.930160463,0.51809164,0.48190836,-0.039488371,-0.03618328
0.596608575,0.506213185,1.178571781,0.848484595,0.540983681,0.459016319,-0.09039539,-0.081967362
0.597978083,0.466385735,1.282153458,0.779937841,0.561817372,0.438182628,-0.131592348,-0.123634744
0.625008325,0.477654173,1.308495477,0.764236497,0.566817432,0.433182568,-0.147354152,-0.133634863
0.581120242,0.415964231,1.397043781,0.715797181,0.582819468,0.417180532,-0.165156011,-0.165638936
0.590889153,0.47047288,1.25594732,0.796211739,0.556727238,0.443272762,-0.120416273,-0.113454476
0.647374137,0.523974033,1.235508052,0.809383636,0.552674391,0.447325609,-0.123400104,-0.105348783
0.65910412,0.509797005,1.292875622,0.773469608,0.563866443,0.436133557,-0.149307115,-0.127732887
0.593473227,0.419216786,1.41567143,0.706378598,0.586036417,0.413963583,-0.174256441,-0.172072834
0.549120946,0.336840989,1.630208211,0.613418576,0.619801962,0.380198038,-0.212279957,-0.239603925
0.597233994,0.370666845,1.611242014,0.620639228,0.617040476,0.382959524,-0.226567149,-0.234080951
0.515311704,0.281212225,1.832465512,0.545712862,0.646950688,0.353049312,-0.234099479,-0.293901376
0.70391488,0.594318707,1.1844064,0.844304793,0.542209728,0.457790272,-0.109596173,-0.084419456
0.542555135,0.332141082,1.633508061,0.612179409,0.62027836,0.37972164,-0.210414053,-0.24055672
0.610327533,0.467653418,1.305085154,0.766233527,0.566176547,0.433823453,-0.142674115,-0.132353095
0.565936592,0.346031059,1.635508077,0.611430793,0.620566521,0.379433479,-0.219905533,-0.241133041
0.575470624,0.358898582,1.603435212,0.623660995,0.615892112,0.384107888,-0.216572042,-0.231784225
0.640603123,0.444515527,1.441126539,0.693901592,0.590353067,0.409646933,-0.196087596,-0.180706134
0.55153351,0.356751216,1.545989152,0.646835069,0.607225349,0.392774651,-0.194782294,-0.214450699
0.602188246,0.405829671,1.483844798,0.673924929,0.597398356,0.402601644,-0.196358575,-0.194796711
0.592511419,0.387246036,1.530064517,0.653567212,0.604753162,0.395246838,-0.205265383,-0.209506324
0.474006425,0.232919684,2.035063833,0.491385078,0.670517638,0.329482362,-0.241086741,-0.341035276
0.58414702,0.408963346,1.42836033,0.700103453,0.588199499,0.411800501,-0.175183674,-0.176398999
0.614416723,0.428646749,1.433387106,0.697648246,0.589050177,0.410949823,-0.185769974,-0.178100354
0.689876786,0.52899428,1.304129009,0.766795304,0.565996524,0.434003476,-0.160882506,-0.131993047
0.502173777,0.258565055,1.942156402,0.514891591,0.660113242,0.339886758,-0.243608722,-0.320226485
0.594076757,0.452386528,1.31320612,0.761495081,0.56769957,0.43230043,-0.141690229,-0.13539914
0.60960527,0.450745472,1.352437923,0.739405471,0.57490908,0.42509092,-0.158859798,-0.149818161
0.681344397,0.56485751,1.20622349,0.829033764,0.546736763,0.453263237,-0.116486887,-0.093473527
0.595148698,0.434246308,1.370532546,0.729643381,0.578153862,0.421846138,-0.16090239,-0.156307724
0.635129311,0.489698058,1.296981478,0.771021034,0.564646032,0.435353968,-0.145431253,-0.129292065
0.60018349,0.452176016,1.327322699,0.753396292,0.570321726,0.429678274,-0.148007474,-0.140643452
0.587227125,0.426418497,1.37711457,0.726155995,0.579321917,0.420678083,-0.160808628,-0.158643834
0.585724993,0.418813248,1.398535017,0.715033937,0.583078841,0.416921159,-0.166911745,-0.166157681
0.579125172,0.418566145,1.383592961,0.722755917,0.580465282,0.419534718,-0.160559027,-0.160930565
0.638515748,0.475327141,1.343318513,0.744425087,0.573254769,0.426745231,-0.163188607,-0.146509538
0.572499446,0.39424913,1.452126086,0.688645435,0.592190628,0.407809372,-0.178250316,-0.184381255
0.442019895,0.238775555,1.851194085,0.540191873,0.649269755,0.350730245,-0.20324434,-0.29853951
0.461038776,0.241272495,1.910863383,0.52332365,0.656459315,0.343540685,-0.219766281,-0.31291863
0.414025987,0.189529915,2.184488855,0.457772992,0.685977862,0.314022138,-0.224496072,-0.371955723
0.490120513,0.285281614,1.718023486,0.58206422,0.632085593,0.367914407,-0.204838899,-0.264171185
0.501570303,0.289167153,1.734534154,0.576523672,0.634306999,0.365693001,-0.21240315,-0.268613999
0.590796956,0.510977064,1.156210323,0.864894544,0.53622335,0.46377665,-0.079819892,-0.0724467
