,ROI Label,ROI Name,X,Y,Z,schaef7,schaef17,schaef17_hemi
,1,17Networks_LH_VisCent_ExStr_1,-36,-62,-17,1,1,1
,2,17Networks_LH_VisCent_ExStr_2,-23,-73,-10,1,1,1
,3,17Networks_LH_VisCent_ExStr_3,-36,-81,-16,1,1,1
,4,17Networks_LH_VisCent_ExStr_4,-17,-86,-15,1,1,1
,5,17Networks_LH_VisCent_ExStr_5,-24,-97,-12,1,1,1
,6,17Networks_LH_VisCent_ExStr_6,-41,-87,-3,1,1,1
,7,17Networks_LH_VisCent_Striate_1,-7,-98,-7,1,1,1
,8,17Networks_LH_VisCent_ExStr_7,-46,-73,6,1,1,1
,9,17Networks_LH_VisCent_ExStr_8,-24,-96,6,1,1,1
,10,17Networks_LH_VisCent_ExStr_9,-39,-84,14,1,1,1
,11,17Networks_LH_VisCent_ExStr_10,-11,-97,17,1,1,1
,12,17Networks_LH_VisCent_ExStr_11,-25,-85,21,1,1,1
,13,17Networks_LH_VisPeri_ExStrInf_1,-24,-55,-8,1,2,2
,14,17Networks_LH_VisPeri_ExStrInf_2,-12,-62,-5,1,2,2
,15,17Networks_LH_VisPeri_ExStrInf_3,-7,-76,-6,1,2,2
,16,17Networks_LH_VisPeri_ExStrInf_4,-13,-43,-5,1,2,2
,17,17Networks_LH_VisPeri_ExStrInf_5,-14,-57,1,1,2,2
,18,17Networks_LH_VisPeri_StriCal_1,-5,-88,2,1,2,2
,19,17Networks_LH_VisPeri_StriCal_2,-7,-74,9,1,2,2
,20,17Networks_LH_VisPeri_ExStrSup_1,-19,-65,7,1,2,2
,21,17Networks_LH_VisPeri_ExStrSup_2,-3,-84,24,1,2,2
,22,17Networks_LH_VisPeri_ExStrSup_3,-12,-71,20,1,2,2
,23,17Networks_LH_VisPeri_ExStrSup_4,-16,-89,33,1,2,2
,24,17Networks_LH_VisPeri_ExStrSup_5,-12,-81,36,1,2,2
,25,17Networks_LH_SomMotA_1,-8,-15,47,2,3,3
,26,17Networks_LH_SomMotA_2,-41,-14,47,2,3,3
,27,17Networks_LH_SomMotA_3,-49,-17,54,2,3,3
,28,17Networks_LH_SomMotA_4,-48,-29,58,2,3,3
,29,17Networks_LH_SomMotA_5,-39,-25,53,2,3,3
,30,17Networks_LH_SomMotA_6,-9,-38,54,2,3,3
,31,17Networks_LH_SomMotA_7,-4,-25,56,2,3,3
,32,17Networks_LH_SomMotA_8,-4,-9,59,2,3,3
,33,17Networks_LH_SomMotA_9,-36,-19,65,2,3,3
,34,17Networks_LH_SomMotA_10,-32,-29,63,2,3,3
,35,17Networks_LH_SomMotA_11,-30,-38,65,2,3,3
,36,17Networks_LH_SomMotA_12,-23,-11,65,2,3,3
,37,17Networks_LH_SomMotA_13,-19,-24,67,2,3,3
,38,17Networks_LH_SomMotA_14,-9,-42,70,2,3,3
,39,17Networks_LH_SomMotA_15,-4,-25,69,2,3,3
,40,17Networks_LH_SomMotA_16,-14,-11,73,2,3,3
,41,17Networks_LH_SomMotA_17,-19,-31,69,2,3,3
,42,17Networks_LH_SomMotA_18,-19,-40,72,2,3,3
,43,17Networks_LH_SomMotA_19,-12,-27,73,2,3,3
,44,17Networks_LH_SomMotB_Aud_1,-50,-9,0,2,4,4
,45,17Networks_LH_SomMotB_Aud_2,-56,-22,8,2,4,4
,46,17Networks_LH_SomMotB_Ins_1,-36,-24,10,2,4,4
,47,17Networks_LH_SomMotB_S2_1,-38,-9,13,2,4,4
,48,17Networks_LH_SomMotB_S2_2,-36,-26,19,2,4,4
,49,17Networks_LH_SomMotB_Aud_3,-59,-37,16,2,4,4
,50,17Networks_LH_SomMotB_Aud_4,-41,-35,14,2,4,4
,51,17Networks_LH_SomMotB_S2_3,-49,-13,14,2,4,4
,52,17Networks_LH_SomMotB_S2_4,-60,-2,11,2,4,4
,53,17Networks_LH_SomMotB_S2_5,-48,-24,18,2,4,4
,54,17Networks_LH_SomMotB_S2_6,-61,-18,19,2,4,4
,55,17Networks_LH_SomMotB_Cent_1,-59,-2,23,2,4,4
,56,17Networks_LH_SomMotB_Cent_2,-63,-10,31,2,4,4
,57,17Networks_LH_SomMotB_Cent_3,-53,-9,30,2,4,4
,58,17Networks_LH_SomMotB_Cent_4,-51,-7,43,2,4,4
,59,17Networks_LH_SomMotB_Cent_5,-48,-16,40,2,4,4
,60,17Networks_LH_DorsAttnA_TempOcc_1,-45,-42,-21,3,5,5
,61,17Networks_LH_DorsAttnA_TempOcc_2,-33,-42,-21,3,5,5
,62,17Networks_LH_DorsAttnA_TempOcc_3,-49,-56,-15,3,5,5
,63,17Networks_LH_DorsAttnA_TempOcc_4,-45,-70,-8,3,5,5
,64,17Networks_LH_DorsAttnA_ParOcc_1,-48,-65,15,3,5,5
,65,17Networks_LH_DorsAttnA_ParOcc_2,-32,-84,27,3,5,5
,66,17Networks_LH_DorsAttnA_SPL_1,-26,-70,31,3,5,5
,67,17Networks_LH_DorsAttnA_SPL_2,-21,-79,45,3,5,5
,68,17Networks_LH_DorsAttnA_SPL_3,-23,-65,46,3,5,5
,69,17Networks_LH_DorsAttnA_SPL_4,-29,-58,50,3,5,5
,70,17Networks_LH_DorsAttnA_SPL_5,-36,-52,56,3,5,5
,71,17Networks_LH_DorsAttnA_SPL_6,-15,-71,57,3,5,5
,72,17Networks_LH_DorsAttnA_SPL_7,-29,-61,62,3,5,5
,73,17Networks_LH_DorsAttnB_PostC_1,-61,-23,33,3,6,6
,74,17Networks_LH_DorsAttnB_PostC_2,-55,-20,41,3,6,6
,75,17Networks_LH_DorsAttnB_PostC_3,-55,-32,45,3,6,6
,76,17Networks_LH_DorsAttnB_PostC_4,-46,-29,44,3,6,6
,77,17Networks_LH_DorsAttnB_PostC_5,-39,-37,49,3,6,6
,78,17Networks_LH_DorsAttnB_PostC_6,-30,-46,63,3,6,6
,79,17Networks_LH_DorsAttnB_PostC_7,-7,-59,63,3,6,6
,80,17Networks_LH_DorsAttnB_PostC_8,-20,-57,66,3,6,6
,81,17Networks_LH_DorsAttnB_PostC_9,-13,-50,72,3,6,6
,82,17Networks_LH_DorsAttnB_FEF_1,-40,-3,51,3,6,6
,83,17Networks_LH_DorsAttnB_FEF_2,-25,-1,55,3,6,6
,84,17Networks_LH_DorsAttnB_FEF_3,-30,-8,52,3,6,6
,85,17Networks_LH_DorsAttnB_PrCv_1,-50,3,38,3,6,6
,86,17Networks_LH_SalVentAttnA_ParOper_1,-55,-32,22,4,7,7
,87,17Networks_LH_SalVentAttnA_ParOper_2,-58,-44,27,4,7,7
,88,17Networks_LH_SalVentAttnA_ParOper_3,-61,-36,33,4,7,7
,89,17Networks_LH_SalVentAttnA_Ins_1,-39,2,-4,4,7,7
,90,17Networks_LH_SalVentAttnA_Ins_2,-40,-15,-2,4,7,7
,91,17Networks_LH_SalVentAttnA_Ins_3,-33,19,8,4,7,7
,92,17Networks_LH_SalVentAttnA_Ins_4,-36,4,11,4,7,7
,93,17Networks_LH_SalVentAttnA_FrOper_1,-50,1,5,4,7,7
,94,17Networks_LH_SalVentAttnA_FrOper_2,-52,9,13,4,7,7
,95,17Networks_LH_SalVentAttnA_ParMed_1,-11,-27,41,4,7,7
,96,17Networks_LH_SalVentAttnA_ParMed_2,-13,-41,47,4,7,7
,97,17Networks_LH_SalVentAttnA_ParMed_3,-6,-49,57,4,7,7
,98,17Networks_LH_SalVentAttnA_FrMed_1,-7,0,41,4,7,7
,99,17Networks_LH_SalVentAttnA_FrMed_2,-5,9,48,4,7,7
,100,17Networks_LH_SalVentAttnA_FrMed_3,-8,-3,71,4,7,7
,101,17Networks_LH_SalVentAttnB_PFCl_1,-38,49,11,4,8,8
,102,17Networks_LH_SalVentAttnB_PFCl_2,-29,43,30,4,8,8
,103,17Networks_LH_SalVentAttnB_PFCl_3,-36,32,38,4,8,8
,104,17Networks_LH_SalVentAttnB_Ins_1,-34,16,-8,4,8,8
,105,17Networks_LH_SalVentAttnB_Ins_2,-33,25,-1,4,8,8
,106,17Networks_LH_SalVentAttnB_Ins_3,-43,12,2,4,8,8
,107,17Networks_LH_SalVentAttnB_OFC_1,-27,49,-14,4,8,8
,108,17Networks_LH_SalVentAttnB_PFCmp_1,-6,22,31,4,8,8
,109,17Networks_LH_LimbicB_OFC_1,-12,25,-21,5,9,9
,110,17Networks_LH_LimbicB_OFC_2,-24,23,-20,5,9,9
,111,17Networks_LH_LimbicB_OFC_3,-10,47,-21,5,9,9
,112,17Networks_LH_LimbicB_OFC_4,-4,23,-19,5,9,9
,113,17Networks_LH_LimbicB_OFC_5,-15,65,-8,5,9,9
,114,17Networks_LH_LimbicA_TempPole_1,-37,-5,-42,5,10,10
,115,17Networks_LH_LimbicA_TempPole_2,-25,6,-39,5,10,10
,116,17Networks_LH_LimbicA_TempPole_3,-26,-9,-33,5,10,10
,117,17Networks_LH_LimbicA_TempPole_4,-54,-21,-31,5,10,10
,118,17Networks_LH_LimbicA_TempPole_5,-40,-21,-27,5,10,10
,119,17Networks_LH_LimbicA_TempPole_6,-32,12,-29,5,10,10
,120,17Networks_LH_LimbicA_TempPole_7,-44,5,-17,5,10,10
,121,17Networks_LH_ContA_Temp_1,-55,-62,-1,6,11,11
,122,17Networks_LH_ContA_IPS_1,-29,-74,42,6,11,11
,123,17Networks_LH_ContA_IPS_2,-58,-42,45,6,11,11
,124,17Networks_LH_ContA_IPS_3,-35,-62,48,6,11,11
,125,17Networks_LH_ContA_IPS_4,-45,-41,47,6,11,11
,126,17Networks_LH_ContA_IPS_5,-33,-46,41,6,11,11
,127,17Networks_LH_ContA_PFCd_1,-21,5,65,6,11,11
,128,17Networks_LH_ContA_PFClv_1,-48,35,10,6,11,11
,129,17Networks_LH_ContA_PFClv_2,-42,38,22,6,11,11
,130,17Networks_LH_ContA_PFCl_1,-49,6,26,6,11,11
,131,17Networks_LH_ContA_PFCl_2,-45,20,27,6,11,11
,132,17Networks_LH_ContA_PFCl_3,-39,7,34,6,11,11
,133,17Networks_LH_ContA_Cingm_1,-3,5,29,6,11,11
,134,17Networks_LH_ContB_Temp_1,-60,-36,-18,6,12,12
,135,17Networks_LH_ContB_Temp_2,-60,-49,-10,6,12,12
